,Date,Denomination,Mint,Obverse,Reverse,Obverse_URL,Reverse_URL
5931,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI FORT RED: Fortuna, draped, seated left on chair without back, holding rudder set on ground in right hand and cornucopiae in left",http://numismatics.org/collectionimages/19501999/1956/1956.127.1629.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1629.rev.width175.jpg
5932,AD 112 - AD 114,Aureus,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Head of Trajan, laureate, right",FORVM TRAIAN: Forum of Trajan,http://www.britishmuseum.org/collectionimages/AN00658/AN00658078_001_l.jpg,http://www.britishmuseum.org/collectionimages/AN00658/AN00658027_001_l.jpg
5934,AD 112 - AD 114,Aureus,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, cuirassed, right",FORVM TRAIAN: Forum of Trajan,http://www.ikmk.at/edit/images/n60/60205/vs_thumb.jpg,http://www.ikmk.at/edit/images/n60/60205/rs_thumb.jpg
5937,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI PAX: Pax, draped, standing left, holding torch in right hand setting fire to a pile of arms on left and holding a cornucopiae in left",http://numismatics.org/collectionimages/19001949/1944/1944.100.43608.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.43608.rev.width175.jpg
5939,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI PIET: Pietas, draped, veiled, standing left, holding right hand over lighted and garlanded altar left, left arm at side",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36478-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36478-2.jpg
5943,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, right","S P Q R OPTIMO PRINCIPI VESTA: Vesta, draped, veiled, seated left on chair without back, feet on stool, holding palladium in right hand and transverse sceptre in left",http://numismatics.org/collectionimages/19001949/1944/1944.100.43609.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.43609.rev.width175.jpg
5945,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, right (sometimes draped on left shoulder)","S P Q R OPTIMO PRINCIPI VIA TRAIANA: Via Trajana, bare to waist, reclining left, head turned back right, holding wheel on right knee and resting left arm on rocks: she holds branch in left hand",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36481-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36481-2.jpg
5946,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, right","S P Q R OPTIMO PRINCIPI VIA TRAIANA: Via Trajana, bare to waist, reclining left, head turned back right, holding wheel on right knee and resting left arm on rocks: she holds branch in left hand",http://numismatics.org/collectionimages/19501999/1956/1956.127.1630.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1630.rev.width175.jpg
5948,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, right","S P Q R OPTIMO PRINCIPI: Mars, helmeted, naked, except for cloak round waist, advancing right, holding transverse spear in right hand and trophy over left shoulder, in left",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36483-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36483-2.jpg
5949,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI: Mars, helmeted, naked, except for cloak round waist, advancing right, holding transverse spear in right hand and trophy over left shoulder in left",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36485-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36485-2.jpg
5950,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, right (sometimes draped)","S P Q R OPTIMO PRINCIPI: Felicitas, draped, standing left, holding up caduceus in right hand and cornucopiae in left","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127880/record_DE-MUS-062622_kenom_127880_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127880/record_DE-MUS-062622_kenom_127880_rs.jpg/full/120,/0/default.jpg"
5951,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI: Felicitas, draped, standing left, holding up caduceus in right hand and cornucopiae in left",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36486-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36486-2.jpg
5955,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, right","S P Q R OPTIMO PRINCIPI: Genius, naked, standing left, holding patera in right hand and corn-ears downwards in left",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36488-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36488-2.jpg
5956,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI: Genius, naked, standing left, holding patera in right hand and corn-ears downwards in left",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36489-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36489-2.jpg
5959,AD 112 - AD 114,Aureus,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, cuirassed, right","S P Q R OPTIMO PRINCIPI: Genius, naked, standing left, holding patera in right hand and corn-ears downwards in left; altar left",http://numismatics.org/collectionimages/19501999/1958/1958.214.14.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1958/1958.214.14.rev.width175.jpg
5963,AD 112 - AD 114,Quinarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI: Victory, draped, advancing right, holding up wreath in right hand and palm over left shoulder",http://numismatics.org/collectionimages/19001949/1944/1944.100.43593.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.43593.rev.width175.jpg
5971,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI: Victory, naked to hips, standing right, left foot on helmet, with right hand inscribing DACICA on shield set on palm, her left hand supporting shield",http://numismatics.org/collectionimages/19501999/1956/1956.127.1610.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1610.rev.width175.jpg
5973,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right","S P Q R OPTIMO PRINCIPI: Virtus, helmeted, in military dress, standing right, left foot set on helmet, holding vertical spear reversed in right hand and parazonium upwards in left",http://numismatics.org/collectionimages/19501999/1956/1956.127.1612.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1612.rev.width175.jpg
5976,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, right","S P Q R OPTIMO PRINCIPI: Trajan on horseback left, holding long spear reversed in right hand and sword in left",http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36496-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36496-2.jpg
5978,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, right",S P Q R OPTIMO PRINCIPI: Column of Trajan surmounted with a statue of Trajan; two eagles at base and a wreath with spirals and dots on column,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36497-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36400/36497-2.jpg
5979,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right",S P Q R OPTIMO PRINCIPI: Column of Trajan surmounted with a statue of Trajan; two eagles at base and a wreath with spirals and dots on column,http://numismatics.org/collectionimages/19001949/1944/1944.100.43596.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.43596.rev.width175.jpg
5981,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, right",S P Q R OPTIMO PRINCIPI: Aquila between vexillum on left and standard on right,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36500/36500-1.jpg,http://www.museudeprehistoria.org/nomisma/media/image/catalogo/thumb/36000/36500/36500-2.jpg
5982,AD 112 - AD 114,Denarius,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped on left shoulder, right",S P Q R OPTIMO PRINCIPI: Aquila between vexillum on left and standard on right,http://numismatics.org/collectionimages/19001949/1905/1905.57.343.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1905/1905.57.343.rev.width175.jpg
5983,AD 112 - AD 114,Aureus,Rome,"IMP TRAIANO AVG GER DAC P M TR P COS VI P P: Bust of Trajan, laureate, draped, cuirassed, right",S P Q R OPTIMO PRINCIPI: Aquila flanked by two standards,http://numismatics.org/collectionimages/19501999/1957/1957.172.1616.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.172.1616.rev.width175.jpg
5984,AD 114 - AD 117,Aureus,Rome,"IMP TRAIANO OPTIMO AVG GER DAC P M TR P: Bust of Trajan, laureate, draped, right","AVGVSTI PROFECTIO: Trajan on horse prancing right, holding spear; soldier holding spear and shield front; behind, three soldiers",http://numismatics.org/collectionimages/19001949/1944/1944.100.43617.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.43617.rev.width175.jpg
